"Region","Year","TyphoidRate","DiarrheaRate","HepatitisRate","UnsafeRisk","Level.of.water.stress..freshwater.withdrawal.as.a.proportion.of.available.freshwater.resources","People.practicing.open.defecation....of.population.","People.using.at.least.basic.drinking.water.services....of.population.","People.using.at.least.basic.sanitation.services....of.population.","People.using.safely.managed.drinking.water.services....of.population.","People.using.safely.managed.sanitation.services....of.population.","Population.density..people.per.sq..km.of.land.area.","Population..total","Water.productivity..total..constant.2015.US..GDP.per.cubic.meter.of.total.freshwater.withdrawal.","People.with.basic.handwashing.facilities.including.soap.and.water....of.population.","logDiarrheaRate","logTyphoidRate","logHepatitisRate","logUnsafeRisk","Data_Type"
"Eastern Mediterranean Region","2025",0.0199984946880839,10.9564928,0.599808,1.49945974425982,433.747064150143,3.78614193258824,89.7219293947619,87.2359410657143,NA,NA,NA,NA,89.8716270389059,NA,2.39393223030894,-3.91209827385655,-0.511145674976916,0.405104872737742,"Forecasted"
"Eastern Mediterranean Region","2026",0.0199950575486251,10.949296875,0.5994140625,1.51887334704423,433.747064150143,3.78614193258824,89.7219293947619,87.2359410657143,NA,NA,NA,NA,92.1768440963478,NA,2.39327524187204,-3.91227015853671,-0.511802663413817,0.417968840969678,"Forecasted"
"Eastern Mediterranean Region","2027",0.0199872976022021,10.9333672,0.598542,1.56185732086118,433.747064150143,3.78614193258824,89.7219293947619,87.2359410657143,NA,NA,NA,NA,94.4820611537898,NA,2.39181932427817,-3.91265832709212,-0.513258581007694,0.445875703366504,"Forecasted"
"Eastern Mediterranean Region","2028",0.0199724309199251,10.902436025,0.5968486875,1.64533617905505,433.747064150143,3.78614193258824,89.7219293947619,87.2359410657143,NA,NA,NA,NA,96.7872782112318,NA,2.38898625279737,-3.9134024103736,-0.516091652488494,0.497944727505026,"Forecasted"
"Eastern Mediterranean Region","2029",0.0199471275074861,10.8477696,0.593856,1.7929005010672,433.747064150143,3.78614193258824,89.7219293947619,87.2359410657143,NA,NA,NA,NA,99.0924952686737,NA,2.38395949203444,-3.91467013060021,-0.521118413251423,0.583834700092236,"Forecasted"
"Eastern Mediterranean Region","2030",0.0199077426986443,10.757757175,0.5889283125,2.0359215423282,433.747064150143,3.78614193258824,89.7219293947619,87.2359410657143,NA,NA,NA,NA,101.397712326116,NA,2.37562709202167,-3.91664654258993,-0.529450813264193,0.710948562743517,"Forecasted"
"European Region","2000",0,5.69,0.33,0.18,32.229368902913,0.115898870204082,95.594829352,95.0463541916327,84.0642691761225,71.9940627740909,446.285263750333,16412886.990566,81.5320942041064,83.24600978,1.73871024813824,-6.90775527898214,-1.10866262452161,-1.71479842809193,"Historical"
"European Region","2001",0,5.77,0.33,0.17,31.4799084785217,0.112141249734694,95.7123701276,95.1100716261224,84.2776091767347,72.2543704061364,446.816138967353,16437936.6509434,84.6437266558511,83.81407216,1.75267208052001,-6.90775527898214,-1.10866262452161,-1.77195684193188,"Historical"
"European Region","2002",0,5.87,0.33,0.16,31.3363835814783,0.106556413387755,95.848353635,95.1999740942857,84.5241240102041,72.5385968247727,447.273609550235,16470715.509434,87.5369510062128,84.4217744,1.76985463384001,-6.90775527898214,-1.10866262452161,-1.83258146374831,"Historical"
"European Region","2003",0,5.99,0.32,0.15,31.7618630885435,0.100903623081633,95.9842156878,95.2832593165306,84.7773066410204,72.8125218056818,447.600123554353,16515267.3207547,88.7515361898511,85.04492049,1.79009141212736,-6.90775527898214,-1.13943428318836,-1.89711998488588,"Historical"
"European Region","2004",0,6.1,0.32,0.14,31.4939924305435,0.0952067906938776,96.1108659972,95.3811100197959,85.1891830091837,73.189409735,448.239302749078,16564430.7830189,95.1139036925745,85.67044133,1.80828877117927,-6.90775527898214,-1.13943428318836,-1.96611285637283,"Historical"
